fiscalDateEnding,reportedEPS
1996-12-31,0.51
1997-12-31,0.79
1998-12-31,1.04
1999-12-31,0.94
2000-12-31,0.74
2001-12-31,0.31
2002-12-31,0.55
2003-12-31,0.89
2004-12-31,1.58
2005-12-31,2.04
2006-12-31,2.65
2007-12-31,2.19
2008-12-31,1.86
2009-12-31,0.16
2010-12-31,0.83
2011-12-31,1.9
2012-12-31,2.06
2013-12-31,2.21
2014-12-31,2.54
2015-12-31,3.01
2016-12-31,2.57
2017-12-31,2.85
2018-12-31,4.16
2019-12-31,4.59
2020-12-31,2.5
2021-12-31,3.54
2022-12-31,5.76
2023-12-31,8.77
2024-12-31,7.91
2025-12-31,5.01
2026-03-31,0
