fiscalDateEnding,reportedEPS
1996-12-31,0.55
1997-12-31,0.77
1998-12-31,0.72
1999-12-31,1.01
2000-12-31,1.12
2001-12-31,0.91
2002-12-31,1.04
2003-12-31,1.28
2004-12-31,1.67
2005-12-31,1.55
2006-12-31,1.56
2007-12-31,1.65
2008-12-31,1.7
2009-12-31,0.93
2010-12-31,1.81
2011-12-31,2.44
2012-12-31,2.53
2013-12-31,2.64
2014-12-31,3.83
2015-12-31,5.34
2016-12-31,5.71
2017-12-31,7.08
2018-12-31,11.02
2019-12-31,12.93
2020-12-31,12.81
2021-12-31,18.45
2022-12-31,17.49
2023-12-31,9.81
2024-12-31,13.51
2025-12-31,15.84
2026-03-31,0
