fiscalDateEnding,reportedEPS
1996-12-31,0.53
1997-12-31,0.56
1998-12-31,0.39
1999-12-31,0.57
2000-12-31,0.86
2001-12-31,0.7
2002-12-31,0.94
2003-12-31,0.8
2004-12-31,1.26
2005-12-31,1.63
2006-12-31,2.19
2007-12-31,2.26
2008-12-31,0.91
2009-12-31,-0.42
2010-12-31,-1.07
2011-12-31,-0.56
2012-12-31,-0.67
2013-12-31,0.01
2014-12-31,-0.3
2015-12-31,0.56
2016-12-31,0.88
2017-12-31,3.4227
2018-12-31,0.78
2019-12-31,0.21
2020-12-31,-4.14
2021-12-31,-0.67
2022-12-31,-2.88
2023-12-31,2.73
2024-12-31,2.59
2025-12-31,3.32
2026-03-31,0
