fiscalDateEnding,reportedEPS
1996-12-31,0
1997-12-31,-0.16
1998-12-31,-0.16
1999-12-31,-0.19
2000-12-31,-0.37
2001-12-31,-0.2686
2002-12-31,-0.1741
2003-12-31,-0.15
2004-12-31,-0.08
2005-12-31,-0.21
2006-12-31,0.14
2007-12-31,0.35
2008-12-31,-0.24
2009-12-31,0.13
2010-12-31,0.32
2011-12-31,0.44
2012-12-31,0.12
2013-12-31,-0.0389
2014-12-31,-0.0222
2015-12-31,-0.1
2016-12-31,0.19
2017-12-31,0.08
2018-12-31,-0.09
2019-12-31,-0.1315
2020-12-31,0.04
2021-12-31,0.178
2022-12-31,0.0521
2023-12-31,-0.01
2024-12-31,0.1
2025-12-31,0.44
2026-03-31,0
