fiscalDateEnding,reportedEPS
1996-02-29,-0.24
1997-02-28,0.47
1998-02-28,0.87
1999-02-28,0.6233
2000-02-29,0.7164
2001-02-28,1.19
2002-02-28,0.67
2003-02-28,1.02
2004-02-29,0.82
2005-02-28,1.33
2006-02-28,1.9
2007-02-28,2.34
2008-02-29,2.63
2009-02-28,2.29
2010-02-28,2.51
2011-02-28,3.5
2012-02-29,6.15
2013-02-28,5.19
2014-02-28,7.03
2015-02-28,7.3
2016-02-29,5.53
2017-02-28,7.2838
2018-02-28,10.09
2019-02-28,11.003
2020-02-29,10.18
2021-02-28,-1.96
2022-02-28,10.739
2023-02-28,9.42
2024-02-29,11.5
2025-02-28,12.32
2026-02-28,11.47
