fiscalDateEnding,reportedEPS
1996-12-31,4.43
1997-12-31,5.35
1998-12-31,1.33
1999-12-31,4.83
2000-12-31,5.86
2001-12-31,-2.17
2002-12-31,0.91
2003-12-31,1.75
2004-12-31,6.02
2005-12-31,7.91
2006-12-31,8.47
2007-12-31,1.68
2008-12-31,0.07
2009-12-31,0.14
2010-12-31,3.37
2011-12-31,2.63
2012-12-31,3.23
2013-12-31,4.77
2014-12-31,2.84
2015-12-31,3.46
2016-12-31,4.95
2017-12-31,5.46
2018-12-31,7.13
2019-12-31,7.95
2020-12-31,7.69
2021-12-31,9.14
2022-12-31,10.37
2023-12-31,11.96
2024-12-31,13.83
2025-12-31,15.4
2026-03-31,0
