fiscalDateEnding,reportedEPS
1996-12-31,1.69
1997-12-31,1.76
1998-12-31,1.85
1999-12-31,2.04
2000-12-31,-5.9343
2001-12-31,1.3
2002-12-31,2.08
2003-12-31,2.86
2004-12-31,2.05
2005-12-31,3.14
2006-12-31,3.08
2007-12-31,3.69
2008-12-31,3.83
2009-12-31,3.25
2010-12-31,3.48
2011-12-31,3.21
2012-12-31,3.18
2013-12-31,3.78
2014-12-31,4.57
2015-12-31,4.1
2016-12-31,4.03
2017-12-31,4.48
2018-12-31,4.29
2019-12-31,4.7
2020-12-31,4.49
2021-12-31,4.58
2022-12-31,4.64
2023-12-31,4.76
2024-12-31,4.92
2025-12-31,6.5479
