date,dividend
2023-05-31,0.594
2023-08-31,0.594
2023-11-30,0.594
2024-03-04,0.594
2024-06-03,0.594
2024-09-06,0.594
2024-12-02,0.594
2025-03-10,0.594
2025-05-12,0.594
2025-08-08,0.594
2025-12-01,0.594
2026-03-09,0.594
