fiscalDateEnding,reportedEPS
1996-10-31,0.73
1997-10-31,0.72
1998-10-31,0.72
1999-10-31,0.75
2000-10-31,0.93
2001-10-31,0.54
2002-10-31,0.48
2003-10-31,0.55
2004-10-31,0.88
2005-10-31,1.09
2006-10-31,1.36
2007-10-31,1.34
2008-10-31,1.77
2009-10-31,1.21
2010-10-31,2.3
2011-10-31,3.27
2012-10-31,3.59
2013-10-31,3.38
2014-10-31,3.88
2015-10-31,3.6
2016-10-31,4.66
2017-10-31,5.37
2018-10-31,5.95
2019-10-31,5.87
2020-10-31,5.48
2021-10-31,7.74
2022-10-31,9.43
2023-10-31,9.02
2024-10-31,9.74
2025-10-31,10.24
2026-04-30,2.37
