fiscalDateEnding,reportedEPS
1999-05-31,0.1011
2000-05-31,-0.35
2001-05-31,0.1414
2002-05-31,-0.2255
2003-05-31,0.2567
2004-05-31,1.3621
2005-05-31,-0.2189
2006-05-31,-0.023
2007-05-31,0.7758
2008-05-31,3.199
2009-05-31,1.6745
2010-05-31,1.43
2011-05-31,1.16
2012-05-31,1.26
2013-05-31,1.42
2014-05-31,2.27
2015-05-31,3.33
2016-05-31,6.53
2017-05-31,-1.62
2018-05-31,2.96
2019-05-31,1.16
2020-05-31,0.37
2021-05-31,0.04
2022-05-31,2.71
2023-05-31,15.53
2024-05-31,5.06
2025-05-31,24.9705
2026-02-28,7.1961
