fiscalDateEnding,reportedEPS
1998-09-30,0.53
1999-09-30,0.08
2000-09-30,-0.11
2001-09-30,0.13
2002-09-30,0.1812
2003-09-30,-0.18
2004-09-30,0.54
2005-09-30,0.2173
2006-09-30,0.8114
2007-09-30,1.62
2008-09-30,1.17
2009-09-30,0.15
2010-09-30,1.14
2011-09-30,2.34
2012-09-30,2.74
2013-09-30,5.36
2014-09-30,2.82
2015-09-30,-2.5
2016-09-30,-3.52
2017-09-30,-4.32
2018-09-30,-1.46
2019-09-30,-0.03
2020-09-30,-2.13
2021-09-30,-1.53
2022-09-30,-2.9
2023-09-30,0.9112
2024-09-30,-0.5458
2025-09-30,-0.7623
2025-12-31,-0.7599
