fiscalDateEnding,reportedEPS
1996-12-31,0.04
1997-12-31,0.27
1998-12-31,0.17
1999-12-31,0.22
2000-12-31,0.3
2001-12-31,0.04
2002-12-31,0.42
2003-12-31,0.2
2004-12-31,1.32
2005-12-31,1.1
2006-12-31,1.89
2007-12-31,2.05
2008-12-31,2.3
2009-12-31,-0.14
2010-12-31,0.67
2011-12-31,1.23
2012-12-31,0.78
2013-12-31,0.84
2014-12-31,1.3
2015-12-31,0.73
2016-12-31,1.91
2017-12-31,2.66
2018-12-31,5.49
2019-12-31,3.09
2020-12-31,2.83
2021-12-31,16.24
2022-12-31,22.58
2023-12-31,14.9
2024-12-31,9.8
2025-12-31,8.02
2026-03-31,2.78
