fiscalDateEnding,reportedEPS
1996-12-31,2.38
1997-12-31,2.42
1998-12-31,2.47
1999-12-31,3.17
2000-12-31,3.32
2001-12-31,3.27
2002-12-31,3.36
2003-12-31,3.38
2004-12-31,3.61
2005-12-31,3.78
2006-12-31,3.9
2007-12-31,4.25
2008-12-31,4.14
2009-12-31,4.74
2010-12-31,4.68
2011-12-31,4.81
2012-12-31,5.25
2013-12-31,5.77
2014-12-31,5.93
2015-12-31,5.76
2016-12-31,6.03
2017-12-31,6.23
2018-12-31,6.61
2019-12-31,6.88
2020-12-31,7.74
2021-12-31,6.19
2022-12-31,5.63
2023-12-31,6.57
2024-12-31,7.3
2025-12-31,7.53
2026-03-31,1.97
