fiscalDateEnding,reportedEPS
1996-12-31,7.74
1997-12-31,8.43
1998-12-31,10.68
1999-12-31,12.85
2000-12-31,12.95
2001-12-31,5.1
2002-12-31,8.6
2003-12-31,5.95
2004-12-31,13.35
2005-12-31,13.95
2006-12-31,16.95
2007-12-31,14.95
2008-12-31,16.15
2009-12-31,-27.4954
2010-12-31,-3.91
2011-12-31,-2
2012-12-31,-1.06
2013-12-31,-0.42
2014-12-31,0.25
2015-12-31,0.47
2016-12-31,0.7
2017-12-31,0.89
2018-12-31,1.05
2019-12-31,0.39
2020-12-31,-0.49
2021-12-31,2.09
2022-12-31,13.8372
2023-12-31,19.6526
2024-12-31,9.61
2025-12-31,-3.01
2026-03-31,0
