fiscalDateEnding,reportedEPS
1996-01-31,0.0215
1997-01-31,0.0817
1998-01-31,0.1094
1999-01-31,0.1599
2000-01-31,0.19
2001-01-31,0.24
2002-01-31,0.25
2003-01-31,0.27
2004-01-31,0.33
2005-01-31,0.34
2006-01-31,0.35
2007-01-31,0.41
2008-01-31,0.49
2009-01-31,0.5
2010-01-31,0.71
2011-01-31,0.87
2012-01-31,1.01
2013-01-31,1.28
2014-01-31,1.43
2015-01-31,1.6
2016-01-31,1.68
2017-01-31,1.78
2018-01-31,1.97
2019-01-31,2.38
2020-01-31,2.68
2021-01-31,0.29
2022-01-31,2.85
2023-01-31,3.12
2024-01-31,3.86
2025-01-31,4.26
2026-01-31,4.88
