fiscalDateEnding,reportedEPS
1996-12-31,0.74
1997-12-31,0.98
1998-12-31,0.89
1999-12-31,1.19
2000-12-31,1.65
2001-12-31,0.53
2002-12-31,0.54
2003-12-31,0.8
2004-12-31,1.14
2005-12-31,1.45
2006-12-31,0.84
2007-12-31,1.1
2008-12-31,0.92
2009-12-31,1.17
2010-12-31,2.05
2011-12-31,2.55
2012-12-31,2.24
2013-12-31,1.88
2014-12-31,2.33
2015-12-31,2.34
2016-12-31,2.72
2017-12-31,3.47
2018-12-31,4.65
2019-12-31,4.89
2020-12-31,5.31
2021-12-31,5.47
2022-12-31,1.85
2023-12-31,1.04
2024-12-31,-0.13
2025-12-31,0.41
2026-03-31,0.29
