date,dividend
1986-12-04,0.11
1987-03-04,0.055
1988-12-06,0.02
1989-03-06,0.02
1989-06-05,0.04
1989-09-11,0.04
1989-12-05,0.04
1990-03-05,0.04
1990-06-04,0.04
1990-09-10,0.04
1990-12-05,0.04
1991-03-11,0.04
1991-06-03,0.04
1991-09-09,0.04
1991-12-02,0.04
1992-03-09,0.04
1992-06-01,0.04
1992-09-04,0.04
1996-11-27,0.04
1997-02-26,0.04
1997-06-05,0.04
1997-09-04,0.04
1997-11-26,0.05
1998-02-26,0.05
1998-06-03,0.05
1998-09-02,0.05
1998-11-27,0.06
1999-02-25,0.06
1999-06-03,0.06
1999-09-01,0.06
1999-11-29,0.07
2000-03-06,0.07
2000-06-02,0.07
2000-08-30,0.07
2000-12-07,0.07
2001-03-01,0.07
2001-05-30,0.07
2001-08-30,0.07
2001-11-29,0.07
2002-02-28,0.07
2002-05-30,0.07
2002-09-05,0.07
2002-11-27,0.07
2003-03-05,0.07
2003-05-29,0.07
2003-09-04,0.07
2003-12-02,0.07
2004-03-02,0.07
2004-06-02,0.07
2004-09-02,0.07
2004-12-01,0.07
2005-03-02,0.07
2005-06-01,0.07
2005-09-06,0.07
2005-12-01,0.07
2006-03-02,0.07
2006-06-07,0.07
2006-09-01,0.07
2006-12-07,0.07
2007-03-07,0.07
2007-06-07,0.07
2007-08-30,0.07
2007-11-28,0.07
2008-03-06,0.07
2008-06-05,0.08
2008-09-04,0.08
2008-12-03,0.08
2009-03-10,0.08
2009-06-04,0.08
2009-09-03,0.1
2009-12-02,0.1
2010-03-04,0.1
2010-06-09,0.1
2010-09-07,0.1
2010-12-01,0.1
2011-03-10,0.1
2011-06-08,0.1
2011-09-01,0.1
2011-12-07,0.1
2012-03-08,0.1
2012-06-07,0.1
2012-08-29,0.1
2012-12-05,0.1
2013-03-06,0.1
2013-06-06,0.1
2013-09-06,0.11
2013-12-04,0.11
2014-03-12,0.11
2014-06-04,0.11
2014-09-04,0.12
2014-12-03,0.12
2015-03-11,0.12
2015-06-10,0.12
2015-09-03,0.13
2015-12-03,0.13
2016-03-10,0.13
2016-06-09,0.13
2016-09-08,0.15
2016-12-01,0.15
2017-03-08,0.15
2017-06-08,0.15
2017-09-08,0.17
2017-12-01,0.17
2018-03-08,0.17
2018-06-07,0.17
2018-09-10,0.19
2018-12-03,0.19
2019-03-08,0.19
2019-06-06,0.19
2019-09-09,0.19
