metric,value
total_return,12.305592443961908
cagr,0.14332192493543516
volatility,0.22761994040867362
max_drawdown,-0.44345538142508467
calmar,0.32319356340846955
sharpe,0.6296545227017983
sortino,0.8691897564467472
n_buy_trades,1422.0
n_sell_trades,1412.0
avg_positions,18.904585646720133
sector_benchmark_total_return,4.187501257416266
sector_benchmark_cagr,0.08892742470797654
sector_benchmark_volatility,0.19184017164087977
sector_benchmark_max_drawdown,-0.5098314881378825
sector_benchmark_sharpe,0.4635495472473125
sector_benchmark_sortino,0.5717541297793947
beta_vs_sector_benchmark,0.9031164733151598
alpha_vs_sector_benchmark,0.06301010275216799
tracking_error_vs_sector_benchmark,0.1488388273208716
information_ratio_vs_sector_benchmark,0.38163843425028965
sp500_total_return,6.2701736129685
sp500_cagr,0.10811481023036218
sp500_volatility,0.19673891034662477
sp500_max_drawdown,-0.5518943170864916
sp500_sharpe,0.5495344568081623
sp500_sortino,0.671456078732064
beta_vs_sp500,0.8667262555679706
alpha_vs_sp500,0.04961598029303163
tracking_error_vs_sp500,0.1530864972657906
information_ratio_vs_sp500,0.24769807695597457
