date,ticker,side,shares,price,gross_value,transaction_cost
2007-01-03,SSP,BUY,322.68811569030714,15.494837760925291,5000.0,5.0
2007-01-03,MDU,BUY,514.0510335035012,9.72666072845459,5000.0,5.0
2007-01-03,GWW,BUY,98.95112053809503,50.52999877929688,5000.0,5.0
2007-01-03,IFF,BUY,275.9381770653127,18.1200008392334,5000.0,5.0
2007-01-03,WLK,BUY,311.81790131460156,16.03499984741211,5000.0,5.0
2007-01-03,CMC,BUY,195.08389245887312,25.6299991607666,5000.0,5.0
2007-01-03,MTW,BUY,196.08526609338494,25.49911117553711,5000.0,5.0
2007-01-03,NDSN,BUY,198.09825853173902,25.239999771118164,5000.0,5.0
2007-01-03,SEB,BUY,2.840909090909091,1760.0,5000.0,5.0
2007-01-03,WAT,BUY,102.29132346033305,48.880001068115234,5000.0,5.0
2007-01-03,HRL,BUY,524.2463748378378,9.537500381469728,5000.0,5.0
2007-01-03,FWRD,BUY,187.89928167288164,26.61000061035156,5000.0,5.0
2007-01-03,TRMB,BUY,387.8223796461896,12.892499923706056,5000.0,5.0
2007-01-03,DD,BUY,219.29825295224953,22.799999237060547,5000.0,5.0
2007-01-03,CLH,BUY,208.85546735418325,23.940000534057617,5000.0,5.0
2007-01-03,TNC,BUY,175.00875230691048,28.56999969482422,5000.0,5.0
2007-01-03,KR,BUY,431.5925751865386,11.585000038146973,5000.0,5.0
2007-01-03,ITT,BUY,266.16784564003234,18.785139083862305,5000.0,5.0
2007-01-03,MKSI,BUY,221.23893431876303,22.600000381469727,5000.0,5.0
2007-01-03,MIDD,BUY,276.087895486776,17.748332977294922,4900.099900099901,4.900099900099901
2007-02-01,WLK,SELL,311.81790131460156,17.084999084472656,5327.408558482152,5.327408558482152
2007-02-01,WAT,SELL,102.29132346033305,56.72999954223633,5802.986733079442,5.802986733079442
2007-02-01,FWRD,SELL,187.89928167288164,25.170000076293945,4729.424934042008,4.729424934042008
2007-02-01,DD,SELL,219.29825295224953,23.06999969482422,5059.210628683881,5.059210628683881
2007-02-01,CLH,SELL,208.85546735418325,26.70499992370605,5577.485239759055,5.577485239759055
2007-02-01,TNC,SELL,175.00875230691048,31.809999465942383,5567.028317418065,5.567028317418065
2007-02-01,KR,SELL,431.5925751865386,12.859999656677246,5550.280368723335,5.550280368723335
