fiscalDateEnding,reportedEPS
1996-12-31,0.91
1997-12-31,1.07
1998-12-31,0.89
1999-12-31,1.18
2000-12-31,1.69
2001-12-31,0.42
2002-12-31,0.55
2003-12-31,0.71
2004-12-31,1.59
2005-12-31,1.02
2006-12-31,1.68
2007-12-31,1.66
2008-12-31,1.01
2009-12-31,0.6
2010-12-31,3.54
2011-12-31,4.1
2012-12-31,3.82
2013-12-31,4.44
2014-12-31,4.79
2015-12-31,5.05
2016-12-31,6.26
2017-12-31,7.72
2018-12-31,9.43
2019-12-31,6.82
2020-12-31,6.39
2021-12-31,13.19
2022-12-31,16.87
2023-12-31,11.75
2024-12-31,8.48
2025-12-31,10.68
2026-03-31,0
