fiscalDateEnding,reportedEPS
1996-12-31,0.072
1997-12-31,0.14
1998-12-31,0.17
1999-12-31,0.22
2000-12-31,0.27
2001-12-31,0.3
2002-12-31,0.32
2003-12-31,0.4
2004-12-31,0.56
2005-12-31,0.71
2006-12-31,0.87
2007-12-31,1.22
2008-12-31,1.75
2009-12-31,1.78
2010-12-31,2.13
2011-12-31,2.58
2012-12-31,2.91
2013-12-31,3.22
2014-12-31,3.43
2015-12-31,3.43
2016-12-31,3.63
2017-12-31,4
2018-12-31,5.99
2019-12-31,6.56
2020-12-31,6.7
2021-12-31,7.37
2022-12-31,7.99
2023-12-31,8.8
2024-12-31,10.91
2025-09-30,1.64
