fiscalDateEnding,reportedEPS
1996-12-31,0.94
1997-12-31,1.1
1998-12-31,1.24
1999-12-31,1.45
2000-12-31,1.32
2001-12-31,0.94
2002-12-31,1.17
2003-12-31,1.05
2004-12-31,1.45
2005-12-31,1.46
2006-12-31,1.57
2007-12-31,1.25
2008-12-31,0.85
2009-12-31,0.78
2010-12-31,1.15
2011-12-31,1.18
2012-12-31,1.64
2013-12-31,1.55
2014-12-31,1.77
2015-12-31,2.34
2016-12-31,2.49
2017-12-31,2.46
2018-12-31,2.49
2019-12-31,2.57
2020-12-31,2.13
2021-12-31,2.78
2022-12-31,2.27
2023-12-31,1.39
2024-12-31,1.05
2025-12-31,1.05
2026-03-31,0
