fiscalDateEnding,reportedEPS
1996-12-31,0.04
1997-12-31,0.09
1998-12-31,0.13
1999-12-31,0.16
2000-12-31,0.15
2001-12-31,0.117
2002-12-31,0.1
2003-12-31,0.18
2004-12-31,0.21
2005-12-31,0.31
2006-12-31,0.29
2007-12-31,0.19
2008-12-31,0.21
2009-12-31,0.19
2010-12-31,0.24
2011-12-31,0.29
2012-12-31,0.33
2013-12-31,0.37
2014-12-31,0.36
2015-12-31,0.4
2016-12-31,0.4
2017-12-31,0.41
2018-12-31,0.67
2019-12-31,0.75
2020-12-31,0.85
2021-12-31,1.04
2022-12-31,1.35
2023-12-31,0.87
2024-12-31,0.34
2025-12-31,0.22
2026-03-31,0.02
