fiscalDateEnding,reportedEPS
1998-12-31,-0.5545
1999-12-31,-0.32
2000-12-31,-1.12
2001-12-31,-2.34
2002-12-31,-2.96
2003-12-31,-1.19
2004-12-31,-1.01
2005-12-31,-0.46
2006-12-31,0.0576
2007-12-31,0.13
2008-12-31,0.57
2009-12-31,0.6
2010-12-31,0.92
2011-12-31,0.99
2012-12-31,1.6
2013-12-31,1.38
2014-12-31,2.01
2015-12-31,1.41
2016-12-31,1.97
2017-12-31,2.96
2018-12-31,2.77
2019-12-31,4.23
2020-12-31,3.79
2021-12-31,5.67
2022-12-31,3.84
2023-12-31,3.18
2024-12-31,7.39
2025-12-31,5.39
2026-03-31,1.84
