fiscalDateEnding,reportedEPS
1996-12-31,0.38
1997-12-31,0.82
1998-12-31,1.37
1999-12-31,1.25
2000-12-31,0.04
2001-12-31,-0.92
2002-12-31,-0.66
2003-12-31,-0.33
2004-12-31,0.09
2005-12-31,0.36
2006-12-31,0.85
2007-12-31,0.58
2008-12-31,0.05
2009-12-31,0.62
2010-12-31,1.78
2011-12-31,1.97
2012-12-31,2.37
2013-12-31,2.71
2014-12-31,4.18
2015-12-31,6.5
2016-12-31,7.33
2017-12-31,6.63
2018-12-31,4.46
2019-12-31,6.43
2020-12-31,-10.14
2021-12-31,-2.1
2022-12-31,4.31
2023-12-31,4.51
2024-12-31,4.85
2025-12-31,2.13
2026-03-31,-1.68
