fiscalDateEnding,reportedEPS
1996-12-31,1.27
1997-12-31,1.41
1998-12-31,0.88
1999-12-31,0.83
2000-12-31,0.37
2001-12-31,-0.11
2002-12-31,0.04
2003-12-31,-0.18
2004-12-31,0.62
2005-12-31,0.64
2006-12-31,0.87
2007-12-31,0.42
2008-12-31,0.41
2009-12-31,0.37
2010-12-31,0.89
2011-12-31,1.05
2012-12-31,1.2
2013-12-31,1.3
2014-12-31,1.8
2015-12-31,1.96
2016-12-31,2.13
2017-12-31,2.21
2018-12-31,2.42
2019-12-31,2.16
2020-12-31,1.74
2021-12-31,3.04
2022-12-31,2.94
2023-12-31,2.35
2024-12-31,2.66
2025-12-31,2.59
