fiscalDateEnding,reportedEPS
1996-11-30,0.6
1997-11-30,0.72
1998-11-30,0.65
1999-11-30,1
2000-11-30,0.87
2001-11-30,0.83
2002-11-30,0.83
2003-11-30,0.77
2004-11-30,0.69
2005-11-30,0.97
2006-11-30,1.47
2007-11-30,1.77
2008-11-30,1.32
2009-11-30,1.48
2010-11-30,1.64
2011-11-30,1.91
2012-11-30,2.17
2013-11-30,2.58
2014-11-30,2.33
2015-11-30,2.23
2016-11-30,2.48
2017-11-30,2.46
2018-11-30,3
2019-11-30,2.96
2020-11-30,2.84
2021-11-30,3.48
2022-11-30,4.01
2023-11-30,3.86
2024-11-30,3.84
2025-11-30,3.96
2026-02-28,0.57
