date,ticker,side,shares,price,gross_value,transaction_cost
2007-01-03,SSP,BUY,322.68811569030714,15.494837760925291,5000.0,5.0
2007-01-03,MDU,BUY,514.0510335035012,9.72666072845459,5000.0,5.0
2007-01-03,GWW,BUY,98.95112053809503,50.52999877929688,5000.0,5.0
2007-01-03,IFF,BUY,275.9381770653127,18.1200008392334,5000.0,5.0
2007-01-03,WLK,BUY,311.81790131460156,16.03499984741211,5000.0,5.0
2007-01-03,CMC,BUY,195.08389245887312,25.6299991607666,5000.0,5.0
2007-01-03,MTW,BUY,196.08526609338494,25.49911117553711,5000.0,5.0
2007-01-03,NDSN,BUY,198.09825853173902,25.239999771118164,5000.0,5.0
2007-01-03,SEB,BUY,2.840909090909091,1760.0,5000.0,5.0
2007-01-03,WAT,BUY,102.29132346033305,48.880001068115234,5000.0,5.0
2007-01-03,HRL,BUY,524.2463748378378,9.537500381469728,5000.0,5.0
2007-01-03,FWRD,BUY,187.89928167288164,26.61000061035156,5000.0,5.0
2007-01-03,TRMB,BUY,387.8223796461896,12.892499923706056,5000.0,5.0
2007-01-03,DD,BUY,219.29825295224953,22.799999237060547,5000.0,5.0
2007-01-03,CLH,BUY,208.85546735418325,23.940000534057617,5000.0,5.0
2007-01-03,TNC,BUY,175.00875230691048,28.56999969482422,5000.0,5.0
2007-01-03,KR,BUY,431.5925751865386,11.585000038146973,5000.0,5.0
2007-01-03,ITT,BUY,266.16784564003234,18.785139083862305,5000.0,5.0
2007-01-03,MKSI,BUY,221.23893431876303,22.600000381469727,5000.0,5.0
2007-01-03,MIDD,BUY,276.087895486776,17.748332977294922,4900.099900099901,4.900099900099901
2008-01-02,MDU,SELL,514.0510335035012,10.475743293762209,5385.066666875836,5.385066666875836
2008-01-02,GWW,SELL,98.95112053809503,36.15999984741211,3578.0725035587734,3.5780725035587735
2008-01-02,IFF,SELL,275.9381770653127,18.229999542236328,5030.352841586177,5.030352841586177
2008-01-02,WLK,SELL,311.81790131460156,9.5,2962.2700624887148,2.962270062488715
2008-01-02,CMC,SELL,195.08389245887312,28.68000030517578,5595.00609525536,5.595006095255361
2008-01-02,NDSN,SELL,198.09825853173902,27.899999618530277,5526.941337467031,5.526941337467031
2008-01-02,SEB,SELL,2.840909090909091,1477.0,4196.022727272727,4.1960227272727275
