fiscalDateEnding,reportedEPS
1996-12-31,2.04
1997-12-31,2.42
1998-12-31,1.51
1999-12-31,1.75
2000-12-31,4.19
2001-12-31,3.37
2002-12-31,2.11
2003-12-31,3.52
2004-12-31,5.58
2005-12-31,6.54
2006-12-31,7.93
2007-12-31,8.39
2008-12-31,11.36
2009-12-31,4.84
2010-12-31,9.57
2011-12-31,13.44
2012-12-31,12.09
2013-12-31,11.09
2014-12-31,10.14
2015-12-31,3.7
2016-12-31,0.94
2017-12-31,3.71
2018-12-31,8.07
2019-12-31,6.28
2020-12-31,-0.2
2021-12-31,8.13
2022-12-31,18.83
2023-12-31,13.13
2024-12-31,9.87
2025-12-31,7.29
2026-03-31,1.41
