fiscalDateEnding,reportedEPS
1996-12-31,0.18
1997-12-31,0.28
1998-12-31,0.41
1999-12-31,0.25
2000-12-31,0.14
2001-12-31,0.38
2002-12-31,0.61
2003-12-31,0.83
2004-12-31,1.06
2005-12-31,1.07
2006-12-31,1.27
2007-12-31,1.61
2008-12-31,1.77
2009-12-31,2.03
2010-12-31,2.18
2011-12-31,2.59
2012-12-31,3.1
2013-12-31,3.81
2014-12-31,3.78
2015-12-31,3.82
2016-12-31,3.86
2017-12-31,3.44
2018-12-31,3.56
2019-12-31,5.52
2020-12-31,7.25
2021-12-31,9.11
2022-12-31,5.63
2023-12-31,7.4
2024-12-31,9.59
2025-12-31,10.86
