fiscalDateEnding,reportedEPS
1996-12-31,0.98
1997-12-31,1.18
1998-12-31,1.35
1999-12-31,1.51
2000-12-31,1.58
2001-12-31,1.32
2002-12-31,1.52
2003-12-31,1.7
2004-12-31,2.21
2005-12-31,2.61
2006-12-31,3.01
2007-12-31,3.35
2008-12-31,2.97
2009-12-31,1.77
2010-12-31,3.03
2011-12-31,3.77
2012-12-31,6.05
2013-12-31,3.97
2014-12-31,7.13
2015-12-31,5.13
2016-12-31,5.64
2017-12-31,6.75
2018-12-31,7.6
2019-12-31,7.68
2020-12-31,6.63
2021-12-31,8.51
2022-12-31,9.17
2023-12-31,9.67
2024-12-31,10.17
2025-12-31,10.49
2026-03-31,2.66
