fiscalDateEnding,reportedEPS
1996-12-31,1.19
1997-12-31,0.65
1998-12-31,1.32
1999-12-31,1.6
2000-12-31,1.91
2001-12-31,2.26
2002-12-31,2.42
2003-12-31,2.62
2004-12-31,2.77
2005-12-31,3.09
2006-12-31,3.21
2007-12-31,4.33
2008-12-31,4.2
2009-12-31,4.11
2010-12-31,4.06
2011-12-31,4.16
2012-12-31,2.87
2013-12-31,2.51
2014-12-31,2.39
2015-12-31,2.51
2016-12-31,2.68
2017-12-31,2.59
2018-12-31,3.13
2019-12-31,3.22
2020-12-31,3.22
2021-12-31,2.82
2022-12-31,2.26
2023-12-31,2.38
2024-12-31,2.5
2025-12-31,2.76
2026-03-31,0
