fiscalDateEnding,reportedEPS
1996-05-31,0.24
1997-05-31,0.35
1998-05-31,0.21
1999-05-31,0.21
2000-05-31,0.27
2001-05-31,0.28
2002-05-31,0.31
2003-05-31,0.35
2004-05-31,0.43
2005-05-31,0.56
2006-05-31,0.67
2007-05-31,0.71
2008-05-31,0.94
2009-05-31,0.84
2010-05-31,0.97
2011-05-31,1.1
2012-05-31,1.18
2013-05-31,1.33
2014-05-31,1.5
2015-05-31,1.86
2016-05-31,2.16
2017-05-31,2.51
2018-05-31,2.4
2019-05-31,2.49
2020-05-31,1.83
2021-05-31,3.56
2022-05-31,3.86
2023-05-31,3.23
2024-05-31,3.94
2025-05-31,2.16
2026-02-28,1.37
