date,ticker,sector,price,market_cap,enterprise_value,earnings_yield,book_to_market,fcf_yield,ebitda_ev,roic,gross_profitability,piotroski,debt_to_equity,interest_coverage,mom_12_1,volatility_1y,inv_volatility,earnings_yield_winsor,earnings_yield_rank,book_to_market_winsor,book_to_market_rank,fcf_yield_winsor,fcf_yield_rank,ebitda_ev_winsor,ebitda_ev_rank,roic_winsor,roic_rank,gross_profitability_winsor,gross_profitability_rank,piotroski_winsor,piotroski_rank,mom_12_1_winsor,mom_12_1_rank,inv_volatility_winsor,inv_volatility_rank,rule_based_score,ml_score,final_score,score_percentile
2018-01-02,ADM,Consumer Defensive,31.407625198364254,17870938737.86926,24688938737.86926,0.06888278327491885,0.9831604404064372,0.08488641935666279,0.1185551161626241,0.06042809389791294,0.09243244630347199,6.0,0.41752988047808764,6.199386503067485,-0.07781545936212142,0.18607710782611755,5.37411620205568,0.06705059547007781,1.0,0.9759310880362052,1.0,0.08071674825769397,1.0,0.11624919613592294,1.0,0.05613427333815768,1.0,0.08832080297900265,1.0,5.98,1.0,-0.07781545936212142,1.0,5.3258410130273255,1.0,1.0,,1.0,1.0
2018-01-02,AQB,Consumer Defensive,177.8000030517578,79077440.35728455,77474832.35728455,-0.11433599720918526,0.2602252033832349,-0.33208069054021855,-0.11203688650749126,-0.3689539620776129,-0.3187318861434611,4.0,0.15138602531846843,-49.30377091863984,,1.829500441049631,0.5465972992202585,-0.11250380940434422,0.5,0.26745455575346694,0.5,-0.32791101944124973,0.5,-0.1097309664807901,0.5,-0.36466014151785764,0.5,-0.31462024281899176,0.5,4.02,0.5,,,0.5948724882486127,0.5,0.5,,0.5,0.5
2019-01-02,ACI,Consumer Defensive,,,,,,,,0.01936010891763104,0.7588830625939643,7.0,8.634522236900043,0.33468414779499406,,,,,,,,,,,,0.01936010891763104,0.6666666666666666,0.7493875009225497,1.0,6.92,1.0,,,,,0.6166666666666666,,0.6166666666666666,0.4
2019-01-02,ADM,Consumer Defensive,33.0402717590332,18766874359.13086,25703874359.13086,0.12165051869115467,1.011729478050352,-0.24148933451962898,0.1395898513145908,0.1018688007943981,0.10253630496167809,5.0,0.41354611049665563,7.484419263456091,0.18222738930180138,0.18780257774624454,5.324740544036525,0.11825926583682114,1.0,1.0055169192391042,1.0,-0.24148933451962898,1.0,0.13669079183300578,1.0,0.09856845311932741,1.0,0.10253630496167809,0.6666666666666666,5.0,0.6666666666666666,0.1732060152053128,1.0,5.277131581568139,1.0,0.9333333333333333,,0.9333333333333333,1.0
2019-01-02,AQB,Consumer Defensive,47.79999923706055,30707627.7098732,32707408.7098732,-0.34587380374502585,0.7011015374879606,-0.49113031923175793,-0.3055696673696761,-0.3558962364910013,0.09613000270242521,4.0,0.140760312812875,-498.55731150933633,-0.7199100203470542,1.7735392642430743,0.5638442971978905,-0.33991457015063575,0.5,0.7011015374879606,0.5,-0.48613749953751534,0.5,-0.2995655364775758,0.5,-0.34297135180657445,0.3333333333333333,0.09638625479279532,0.3333333333333333,4.0,0.3333333333333333,-0.7108886462505657,0.5,0.6114532596662768,0.5,0.45,,0.45,0.2
2019-01-02,ARKO,Consumer Cyclical,,,,,,,,0.01459234013945075,0.5214940208085999,5.0,5.657164487784785,,,,,,,,,,,,,0.01459234013945075,1.0,0.5214940208085999,1.0,5.0,1.0,,,,,0.6499999999999999,,0.6499999999999999,0.6
2019-01-02,ARLO,Industrials,10.119999885559082,704351992.0349121,577834992.0349121,-0.047912124025521724,0.43402872918239316,-0.13128663089720702,-0.005363122764660749,-0.03277411938032948,0.21522207760888495,1.0,0.07051149949788851,-14.779324055666004,,,,-0.047912124025521724,1.0,0.4393701853485045,1.0,-0.13349068496965547,1.0,-0.005363122764660749,1.0,-0.03277411938032948,1.0,0.21522207760888495,1.0,1.12,1.0,,,,,0.8499999999999999,,0.8499999999999999,0.8
2020-01-02,ACI,Consumer Defensive,,,,,,,,0.0787505994896463,0.6920339291859829,6.0,6.275890002131741,1.774234693877551,,,,,,,,,,,,0.07788291627990816,1.0,0.6798798263502286,1.0,5.88,1.0,,,,,0.6499999999999999,,0.6499999999999999,0.4
2020-01-02,ADM,Consumer Defensive,38.50946807861328,21680830528.259277,29822830528.259277,0.05488719624688397,0.8704924829978498,-0.25810819344332997,0.09338483137477552,0.057058519246192756,0.0964261793129844,2.0,0.48079266677263816,4.475247524752476,0.0942496105380839,0.20149862707738514,4.962812970511963,0.05312525386791866,1.0,0.859492464563763,1.0,-0.25778169448696325,0.5,0.09102815866357991,1.0,0.057058519246192756,0.6666666666666666,0.0964261793129844,0.6666666666666666,2.0,0.5,0.09136043516854055,1.0,4.850644154770457,1.0,0.8083333333333335,,0.8083333333333335,0.6
2020-01-02,AQB,Consumer Defensive,49.400001525878906,53352001.64794922,51854427.64794922,-0.2292902725697495,0.5038252018616294,-0.2472248948977719,-0.2114770810787976,-0.37909304868167293,-0.061080574183374765,2.0,0.18286204696614963,-234.74864125197547,-0.050209157939083426,1.4602695395832839,0.6848050807697936,-0.2292902725697495,0.5,0.5038252018616294,0.5,-0.2472248948977719,1.0,-0.2114770810787976,0.5,-0.37909304868167293,0.3333333333333333,-0.05543506547498894,0.3333333333333333,2.0,0.5,-0.050209157939083426,0.5,0.689890711095325,0.5,0.5416666666666666,,0.5416666666666666,0.2
