date,portfolio_value,cash,positions_value,n_positions
2018-01-02,99900.09990009991,-7.275957614183426e-12,99900.09990009991,2
2018-01-03,87894.4400605975,-7.275957614183426e-12,87894.4400605975,2
2018-01-04,86091.91745453523,-7.275957614183426e-12,86091.91745453523,2
2018-01-05,91817.29720491171,-7.275957614183426e-12,91817.29720491172,2
2018-01-08,89515.93980665921,-7.275957614183426e-12,89515.93980665921,2
2018-01-09,85468.26688437298,-7.275957614183426e-12,85468.26688437298,2
2018-01-10,81320.90160936388,-7.275957614183426e-12,81320.90160936388,2
2018-01-11,77865.64741329101,-7.275957614183426e-12,77865.64741329101,2
2018-01-12,67462.78001419929,-7.275957614183426e-12,67462.78001419929,2
2018-01-16,67812.00424274718,-7.275957614183426e-12,67812.00424274718,2
2018-01-17,67974.14720803074,-7.275957614183426e-12,67974.14720803074,2
2018-01-18,67381.72608920751,-7.275957614183426e-12,67381.72608920753,2
2018-01-19,66745.47495933739,-7.275957614183426e-12,66745.47495933739,2
2018-01-22,69876.06007768799,-7.275957614183426e-12,69876.06007768799,2
2018-01-23,70262.7584690738,-7.275957614183426e-12,70262.75846907381,2
2018-01-24,69876.03750059044,-7.275957614183426e-12,69876.03750059044,2
2018-01-25,69826.1576167894,-7.275957614183426e-12,69826.1576167894,2
2018-01-26,70137.88339096348,-7.275957614183426e-12,70137.8833909635,2
2018-01-29,68921.78172999283,-7.275957614183426e-12,68921.78172999283,2
2018-01-30,68192.17852096434,-7.275957614183426e-12,68192.17852096434,2
2018-01-31,69002.8736656896,-7.275957614183426e-12,69002.8736656896,2
2018-02-01,67998.85083176286,-7.275957614183426e-12,67998.85083176286,2
2018-02-02,66321.32194576922,-7.275957614183426e-12,66321.32194576922,2
2018-02-05,64567.67221617864,-7.275957614183426e-12,64567.672216178646,2
2018-02-06,66830.15540291363,-7.275957614183426e-12,66830.15540291365,2
2018-02-07,67044.66158081478,-7.275957614183426e-12,67044.66158081478,2
2018-02-08,65884.75460470712,-7.275957614183426e-12,65884.75460470712,2
2018-02-09,66283.89040347954,-7.275957614183426e-12,66283.89040347954,2
2018-02-12,66570.81131140652,-7.275957614183426e-12,66570.81131140653,2
2018-02-13,65872.28090105377,-7.275957614183426e-12,65872.28090105377,2
2018-02-14,66919.99620724568,-7.275957614183426e-12,66919.9962072457,2
2018-02-15,68691.63594440298,-7.275957614183426e-12,68691.635944403,2
2018-02-16,69619.78760786956,533.3099810702063,69086.47762679934,2
2018-02-20,68354.57974998113,533.3099810702063,67821.26976891092,2
2018-02-21,67732.82660163229,533.3099810702063,67199.51662056208,2
2018-02-22,66999.68911517625,533.3099810702063,66466.37913410604,2
2018-02-23,68130.05758370364,533.3099810702063,67596.74760263343,2
2018-02-26,67627.30781221109,533.3099810702063,67093.99783114088,2
2018-02-27,66904.98770548863,533.3099810702063,66371.67772441842,2
2018-02-28,66417.37777474477,533.3099810702063,65884.06779367456,2
2018-03-01,65685.0811313196,533.3099810702063,65151.77115024939,2
2018-03-02,67608.88353949631,533.3099810702063,67075.5735584261,2
2018-03-05,67701.17779755247,533.3099810702063,67167.86781648226,2
2018-03-06,67698.76457303706,533.3099810702063,67165.45459196685,2
2018-03-07,67810.16712979614,533.3099810702063,67276.85714872593,2
2018-03-08,69484.1013025937,533.3099810702063,68950.79132152349,2
2018-03-09,70507.01138078039,533.3099810702063,69973.70139971017,2
2018-03-12,70874.33990534494,533.3099810702063,70341.02992427473,2
2018-03-13,70173.03126094115,533.3099810702063,69639.72127987094,2
2018-03-14,71827.48491332302,533.3099810702063,71294.1749322528,2
2018-03-15,72140.65790035189,533.3099810702063,71607.34791928167,2
2018-03-16,74575.29059659825,533.3099810702063,74041.98061552804,2
2018-03-19,73517.05076911706,533.3099810702063,72983.74078804685,2
2018-03-20,73740.72208780806,533.3099810702063,73207.41210673784,2
2018-03-21,74984.72022675353,533.3099810702063,74451.41024568332,2
2018-03-22,72333.80055663722,533.3099810702063,71800.490575567,2
2018-03-23,70788.16227141053,533.3099810702063,70254.85229034032,2
2018-03-26,71319.53647108687,533.3099810702063,70786.22649001666,2
2018-03-27,70415.57511380083,533.3099810702063,69882.26513273062,2
2018-03-28,70046.95034126137,533.3099810702063,69513.64036019116,2
2018-03-29,71605.36382579303,533.3099810702063,71072.05384472282,2
2018-04-02,69885.94833130365,533.3099810702063,69352.63835023344,2
2018-04-03,70842.07811274035,533.3099810702063,70308.76813167013,2
2018-04-04,72327.66571386358,533.3099810702063,71794.35573279337,2
2018-04-05,73891.93867419726,533.3099810702063,73358.62869312704,2
2018-04-06,73934.65777059061,533.3099810702063,73401.3477895204,2
2018-04-09,72898.2884671108,533.3099810702063,72364.97848604059,2
2018-04-10,74257.12326833406,533.3099810702063,73723.81328726385,2
2018-04-11,75591.71182895041,533.3099810702063,75058.4018478802,2
2018-04-12,76276.48614788112,533.3099810702063,75743.17616681091,2
2018-04-13,76392.12703437182,533.3099810702063,75858.81705330161,2
2018-04-16,75760.46933483581,533.3099810702063,75227.1593537656,2
2018-04-17,75587.94662989833,533.3099810702063,75054.63664882812,2
2018-04-18,75313.15313020196,533.3099810702063,74779.84314913175,2
2018-04-19,76331.0799423151,533.3099810702063,75797.76996124489,2
2018-04-20,75438.93933469182,533.3099810702063,74905.62935362161,2
2018-04-23,75055.9126957697,533.3099810702063,74522.60271469949,2
2018-04-24,74697.25338477119,533.3099810702063,74163.94340370098,2
2018-04-25,75439.70767347763,533.3099810702063,74906.39769240742,2
2018-04-26,75059.37109282424,533.3099810702063,74526.06111175402,2
2018-04-27,77275.30966356919,533.3099810702063,76741.99968249898,2
2018-04-30,74973.77001011086,533.3099810702063,74440.46002904065,2
2018-05-01,74084.7877448591,533.3099810702063,73551.47776378889,2
2018-05-02,73633.73738002354,533.3099810702063,73100.42739895332,2
2018-05-03,73859.0342951861,533.3099810702063,73325.72431411588,2
2018-05-04,73792.93195154029,533.3099810702063,73259.62197047008,2
2018-05-07,73186.31364166232,533.3099810702063,72653.0036605921,2
2018-05-08,73232.48506222623,533.3099810702063,72699.17508115602,2
2018-05-09,73255.03353933181,533.3099810702063,72721.7235582616,2
2018-05-10,73562.53816369285,533.3099810702063,73029.22818262264,2
2018-05-11,73214.06078951147,533.3099810702063,72680.75080844125,2
2018-05-14,73261.94926283475,533.3099810702063,72728.63928176454,2
2018-05-15,73361.62072222184,533.3099810702063,72828.31074115162,2
2018-05-16,74290.1394150048,1066.6199621404198,73223.51945286438,2
2018-05-17,74840.20824109265,1066.6199621404198,73773.58827895223,2
2018-05-18,75372.42157669566,1066.6199621404198,74305.80161455524,2
2018-05-21,74944.96998888119,1066.6199621404198,73878.35002674077,2
2018-05-22,75120.86121659106,1066.6199621404198,74054.24125445064,2
2018-05-23,74364.09427968462,1066.6199621404198,73297.4743175442,2
2018-05-24,74489.02393406648,1066.6199621404198,73422.40397192606,2
2018-05-25,74047.47840155865,1066.6199621404198,72980.85843941823,2
2018-05-29,72972.682894147,1066.6199621404198,71906.06293200658,2
2018-05-30,73537.12902161204,1066.6199621404198,72470.50905947162,2
2018-05-31,73333.05811861169,1066.6199621404198,72266.43815647127,2
2018-06-01,73291.33390458161,1066.6199621404198,72224.71394244119,2
2018-06-04,73071.96775782297,1066.6199621404198,72005.34779568255,2
2018-06-05,73754.45396317806,1066.6199621404198,72687.83400103764,2
