fiscalDateEnding,available_date,is_totalRevenue,is_grossProfit,is_operatingIncome,is_ebit,is_ebitda,is_netIncome,is_interestExpense,is_incomeTaxExpense,is_incomeBeforeTax,cf_operatingCashflow,cf_capitalExpenditures,cf_dividendPayoutCommonStock,cf_netIncome,bs_totalAssets,bs_totalLiabilities,bs_totalShareholderEquity,bs_cashAndCashEquivalentsAtCarryingValue,bs_cashAndShortTermInvestments,bs_shortLongTermDebtTotal,bs_shortTermDebt,bs_longTermDebt,bs_currentDebt,bs_commonStockSharesOutstanding,is_totalRevenue_ttm,is_grossProfit_ttm,is_operatingIncome_ttm,is_ebit_ttm,is_ebitda_ttm,is_netIncome_ttm,is_interestExpense_ttm,is_incomeTaxExpense_ttm,is_incomeBeforeTax_ttm,cf_operatingCashflow_ttm,cf_capitalExpenditures_ttm,cf_netIncome_ttm,ticker,sector
2014-05-31,2014-07-30,17220200000.0,4524800000.0,99700000.0,123500000.0,331400000.0,-98000000.0,283400000.0,-61900000.0,-159900000.0,146400000.0,97100000.0,,-116900000.0,,,,,,,,,,583700000.0,,,,,,,,,,,,,ACI,Consumer Defensive
2014-08-31,2014-10-30,13176000000.0,3474900000.0,105400000.0,112900000.0,266900000.0,-31500000.0,164300000.0,-19900000.0,-51400000.0,62700000.0,53700000.0,,-69800000.0,,,,,,,,,,475139081.0,,,,,,,,,,,,,ACI,Consumer Defensive
2014-11-30,2015-01-29,-11995000000.0,-2960900000.0,-170400000.0,-276300000.0,-131200000.0,-252100000.0,152700000.0,28300000.0,-223800000.0,43500000.0,76300000.0,,-194900000.0,,,,,,,,,,475139081.0,,,,,,,,,,,,,ACI,Consumer Defensive
2015-02-28,2015-04-29,39095700000.0,10444600000.0,257600000.0,350900000.0,562000000.0,-2900000.0,543400000.0,-189600000.0,-192500000.0,-417700000.0,101100000.0,,-843600000.0,25678300000.0,23509800000.0,2168500000.0,1125800000.0,1125800000.0,13543700000.0,745100000.0,,,475139081.0,57496900000.0,15483400000.0,292300000.0,311000000.0,1029100000.0,-384500000.0,1143800000.0,-243100000.0,-627600000.0,-165100000.0,328200000.0,-1225200000.0,ACI,Consumer Defensive
2015-05-31,2015-07-30,18051000000.0,4918200000.0,96900000.0,96900000.0,574900000.0,-153300000.0,283800000.0,-29000000.0,-182300000.0,196100000.0,214700000.0,,-153300000.0,24469400000.0,22405400000.0,2064000000.0,989300000.0,989300000.0,12145300000.0,246400000.0,,,583700000.0,58327700000.0,15876800000.0,289500000.0,284400000.0,1272600000.0,-439800000.0,1144200000.0,-210200000.0,-650000000.0,-115400000.0,445800000.0,-1261600000.0,ACI,Consumer Defensive
2015-08-31,2015-10-30,13437900000.0,3576200000.0,-8900000.0,-4200000.0,365000000.0,-111000000.0,177000000.0,-70200000.0,-181200000.0,250500000.0,266100000.0,,-169700000.0,24007500000.0,20628000000.0,3379500000.0,777700000.0,777700000.0,10532600000.0,168400000.0,,,583700000.0,58589600000.0,15978100000.0,175200000.0,167300000.0,1370700000.0,-519300000.0,1156900000.0,-260500000.0,-779800000.0,72400000.0,658200000.0,-1361500000.0,ACI,Consumer Defensive
2015-11-30,2016-01-29,13825500000.0,3846000000.0,125200000.0,127800000.0,524300000.0,-106300000.0,257400000.0,8800000.0,-97500000.0,344300000.0,239600000.0,,-106300000.0,23770000000.0,22156800000.0,1613200000.0,593000000.0,593000000.0,12226300000.0,334700000.0,,,583700000.0,84410100000.0,22785000000.0,470800000.0,571400000.0,2026200000.0,-373500000.0,1261600000.0,-280000000.0,-653500000.0,373200000.0,821500000.0,-1272900000.0,ACI,Consumer Defensive
2016-02-29,2016-04-29,13825500000.0,3846000000.0,125200000.0,127800000.0,524300000.0,-106300000.0,232300000.0,8800000.0,-97500000.0,344300000.0,239600000.0,,-106300000.0,23770000000.0,22156800000.0,1613200000.0,593000000.0,593000000.0,12226300000.0,334700000.0,,,583700000.0,59139900000.0,16186400000.0,338400000.0,348300000.0,1988500000.0,-476900000.0,950500000.0,-81600000.0,-558500000.0,1135200000.0,960000000.0,-535600000.0,ACI,Consumer Defensive
2016-05-31,2016-07-30,18391700000.0,5121000000.0,199400000.0,199400000.0,731200000.0,-133600000.0,313700000.0,24100000.0,-109500000.0,570100000.0,397800000.0,,-133600000.0,24426900000.0,22973700000.0,1453200000.0,1476200000.0,1476200000.0,12912900000.0,849400000.0,,,583700000.0,59480600000.0,16389200000.0,440900000.0,450800000.0,2144800000.0,-457200000.0,980400000.0,-28500000.0,-485700000.0,1509200000.0,1143100000.0,-515900000.0,ACI,Consumer Defensive
2016-08-31,2016-10-30,13856100000.0,3765900000.0,101200000.0,101200000.0,518400000.0,-238100000.0,997000000.0,-38600000.0,-276700000.0,316800000.0,342400000.0,,-238100000.0,23773900000.0,22558700000.0,1215200000.0,930600000.0,930600000.0,12509400000.0,370300000.0,,,583700000.0,59898800000.0,16578900000.0,551000000.0,556200000.0,2298200000.0,-584300000.0,1800400000.0,3100000.0,-581200000.0,1575500000.0,1219400000.0,-584300000.0,ACI,Consumer Defensive
