fiscalDateEnding,reportedEPS
1996-09-30,-0.1082
1997-09-30,-0.1114
1998-09-30,0.04
1999-09-30,0.05
2000-09-30,0.04
2001-09-30,0.0064
2002-09-30,0.0198
2003-09-30,0.0112
2004-09-30,0.05
2005-09-30,0.05
2006-09-30,0.08
2007-09-30,0.14
2008-09-30,0.19
2009-09-30,0.2225
2010-09-30,0.54
2011-09-30,0.9875
2012-09-30,1.5775
2013-09-30,1.415
2014-09-30,1.6075
2015-09-30,2.3
2016-09-30,2.0675
2017-09-30,2.3
2018-09-30,2.97
2019-09-30,2.98
2020-09-30,3.27
2021-09-30,5.62
2022-09-30,6.11
2023-09-30,6.12
2024-09-30,6.08
2025-09-30,7.47
2026-03-31,2.84
