fiscalDateEnding,reportedEPS
1996-05-31,0.12
1997-05-31,0.73
1998-05-31,0.82
1999-05-31,0.9
2000-05-31,1
2001-05-31,1.12
2002-05-31,0.9
2003-05-31,1.33
2004-05-31,1.43
2005-05-31,1.47
2006-05-31,1.51
2007-05-31,1.63
2008-05-31,1.79
2009-05-31,1.99
2010-05-31,2.31
2011-05-31,2.48
2012-05-31,2.55
2013-05-31,2.69
2014-05-31,2.82
2015-05-31,2.86
2016-05-31,2.92
2017-05-31,3.08
2018-05-31,3.11
2019-05-31,3.22
2020-05-31,3.61
2021-05-31,3.79
2022-05-31,3.94
2023-05-31,4.21
2024-05-31,4.52
2025-05-31,4.21
2026-02-28,3.64
