fiscalDateEnding,reportedEPS
1996-12-31,1.35
1997-12-31,1.52
1998-12-31,1.71
1999-12-31,1.95
2000-12-31,2.24
2001-12-31,2.41
2002-12-31,1.25
2003-12-31,1.68
2004-12-31,1.7
2005-12-31,1.43
2006-12-31,1.08
2007-12-31,1.48
2008-12-31,1.77
2009-12-31,2.03
2010-12-31,2.16
2011-12-31,2.28
2012-12-31,2
2013-12-31,1.82
2014-12-31,1.85
2015-12-31,2.01
2016-12-31,2.83
2017-12-31,3.01
2018-12-31,3.98
2019-12-31,4.67
2020-12-31,6.44
2021-12-31,7.5
2022-12-31,7.8
2023-12-31,7.39
2024-12-31,1.14
2025-12-31,6.15
2026-03-31,0
