fiscalDateEnding,reportedEPS
1996-12-31,-0.06
1997-12-31,0.02
1998-12-31,-0.2349
1999-12-31,0.1326
2000-12-31,0.22
2001-12-31,0.0053
2002-12-31,0.13
2003-12-31,0.21
2004-12-31,0.27
2005-12-31,0.36
2006-12-31,0.5
2007-12-31,0.63
2008-12-31,0.77
2009-12-31,0.54
2010-12-31,0.81
2011-12-31,1.08
2012-12-31,1.32
2013-12-31,1.58
2014-12-31,1.46
2015-12-31,1.13
2016-12-31,1.18
2017-12-31,1.49
2018-12-31,1.91
2019-12-31,1.99
2020-12-31,2.22
2021-12-31,2.66
2022-12-31,2.63
2023-12-31,2.67
2024-12-31,2.31
2025-12-31,3.13
2026-03-31,0
