fiscalDateEnding,reportedEPS
1996-12-31,0.21
1997-12-31,0.26
1998-12-31,0.28
1999-12-31,0.28
2000-12-31,0.34
2001-12-31,0.38
2002-12-31,0.43
2003-12-31,0.52
2004-12-31,0.63
2005-12-31,0.73
2006-12-31,0.88
2007-12-31,0.78
2008-12-31,0.72
2009-12-31,0.62
2010-12-31,0.68
2011-12-31,0.78
2012-12-31,0.71
2013-12-31,0.83
2014-12-31,0.97
2015-12-31,0.84
2016-12-31,0.68
2017-12-31,0.51
2018-12-31,0.88
2019-12-31,0.89
2020-12-31,0.87
2021-12-31,1
2022-12-31,1.04
2023-12-31,0.22
2024-12-31,-0.37
2025-12-31,-0.68
2026-03-31,-0.06
