fiscalDateEnding,reportedEPS
1996-12-31,0.14
1997-12-31,0.31
1998-12-31,0.35
1999-12-31,0.51
2000-12-31,0.72
2001-12-31,0.61
2002-12-31,0.62
2003-12-31,0.78
2004-12-31,1.05
2005-12-31,1.4
2006-12-31,1.57
2007-12-31,1.51
2008-12-31,1.48
2009-12-31,0.49
2010-12-31,1.11
2011-12-31,1.61
2012-12-31,1.78
2013-12-31,1.77
2014-12-31,1.97
2015-12-31,2.25
2016-12-31,2.09
2017-12-31,2.34
2018-12-31,3.17
2019-12-31,3.05
2020-12-31,0.84
2021-12-31,4.05
2022-12-31,7.19
2023-12-31,4.08
2024-12-31,-0.23
2025-12-31,-2.9715
