fiscalDateEnding,reportedEPS
1996-12-31,0.0003
1997-12-31,0.0013
1998-12-31,0.007
1999-12-31,0.0088
2000-12-31,0.0078
2001-12-31,0.0061
2002-12-31,0.0048
2003-12-31,0.0065
2004-12-31,0.018
2005-12-31,0.11
2006-12-31,0.2
2007-12-31,0.27
2008-12-31,0.19
2009-12-31,0.37
2010-12-31,0.39
2011-12-31,0.52
2012-12-31,0.63
2013-12-31,0.69
2014-12-31,0.92
2015-12-31,0.99
2016-12-31,1.3
2017-12-31,1.39
2018-12-31,1.8
2019-12-31,2.07
2020-12-31,2.68
2021-12-31,2.57
2022-12-31,2.23
2023-12-31,1.58
2024-12-31,1.49
2025-12-31,1.96
