fiscalDateEnding,reportedEPS
1996-12-31,1.61
1997-12-31,1.92
1998-12-31,2.18
1999-12-31,2.46
2000-12-31,2.89
2001-12-31,3.14
2002-12-31,3.14
2003-12-31,3.04
2004-12-31,2.62
2005-12-31,2.53
2006-12-31,2.52
2007-12-31,3.21
2008-12-31,3.42
2009-12-31,3.26
2010-12-31,3.42
2011-12-31,3.78
2012-12-31,3.3947
2013-12-31,3.49
2014-12-31,3.5
2015-12-31,3.6
2016-12-31,3.78
2017-12-31,3.98
2018-12-31,4.34
2019-12-31,5.19
2020-12-31,5.93
2021-12-31,6.26
2022-12-31,7.48
2023-12-31,1.5
2024-12-31,7.64
2025-12-31,8.97
2026-03-31,0
