fiscalDateEnding,reportedEPS
1996-12-31,1.73
1997-12-31,1.85
1998-12-31,2.09
1999-12-31,2.33
2000-12-31,2.24
2001-12-31,2.35
2002-12-31,2.25
2003-12-31,1.47
2004-12-31,1.49
2005-12-31,1.72
2006-12-31,2.34
2007-12-31,2.77
2008-12-31,2.84
2009-12-31,2.11
2010-12-31,2.3
2011-12-31,2.2
2012-12-31,2.33
2013-12-31,2.5
2014-12-31,2.51
2015-12-31,2.69
2016-12-31,2.84
2017-12-31,3.05
2018-12-31,3.52
2019-12-31,3.58
2020-12-31,3.18
2021-12-31,3.4
2022-12-31,2.71
2023-12-31,2.41
2024-12-31,2.28
2025-12-31,2.11
2026-03-31,0.57
