fiscalDateEnding,reportedEPS
1997-12-31,0.06
1998-12-31,0.26
1999-12-31,0.34
2000-12-31,0.42
2001-12-31,0.49
2002-12-31,0.55
2003-12-31,0.67
2004-12-31,0.8
2005-12-31,1.16
2006-12-31,1.52
2007-12-31,1.86
2008-12-31,2.08
2009-12-31,2.13
2010-12-31,2.33
2011-12-31,2.65
2012-12-31,2.76
2013-12-31,2.65
2014-12-31,3.05
2015-12-31,3.51
2016-12-31,3.59
2017-12-31,3.35
2018-12-31,4.73
2019-12-31,4.15
2020-12-31,3.71
2021-12-31,6.31
2022-12-31,7.53
2023-12-31,3.22
2024-12-31,4.5
2025-12-31,5.09
2026-03-31,1.35
