fiscalDateEnding,reportedEPS
2013-12-31,1.9847
2014-12-31,2.68
2015-12-31,3.34
2016-12-31,3.91
2017-12-31,4.69
2018-12-31,5.55
2019-12-31,6.4
2020-12-31,6.42
2021-12-31,9.03
2022-12-31,10.17
2023-12-31,10.21
2024-12-31,9.15
2025-12-31,10.66
2026-03-31,0
