fiscalDateEnding,reportedEPS
1996-12-31,0.68
1997-12-31,1.04
1998-12-31,1.27
1999-12-31,1.5
2000-12-31,0.84
2001-12-31,0.25
2002-12-31,0.78
2003-12-31,0.84
2004-12-31,1.08
2005-12-31,0.42
2006-12-31,-0.04
2007-12-31,-1.19
2008-12-31,-1.41
2009-12-31,-0.95
2010-12-31,0.23
2011-12-31,-0.33
2012-12-31,0.42
2013-12-31,0.35
2014-12-31,1.4
2015-12-31,1.93
2016-12-31,0.9
2017-12-31,0.86
2018-12-31,2.36
2019-12-31,0.64
2020-12-31,1.11
2021-12-31,3.61
2022-12-31,5.87
2023-12-31,4.2
2024-12-31,2.92
2025-12-31,1.52
2026-03-31,0.26
