fiscalDateEnding,reportedEPS
1996-12-31,2.48
1997-12-31,2.24
1998-12-31,2.21
1999-12-31,2.29
2000-12-31,3.14
2001-12-31,3.23
2002-12-31,3.81
2003-12-31,4.24
2004-12-31,3.78
2005-12-31,4.36
2006-12-31,4.71
2007-12-31,5.76
2008-12-31,6.51
2009-12-31,6.67
2010-12-31,7.1
2011-12-31,7.61
2012-12-31,6.22
2013-12-31,5.36
2014-12-31,5.83
2015-12-31,5.99
2016-12-31,7.08
2017-12-31,7.21
2018-12-31,7.32
2019-12-31,5.37
2020-12-31,5.66
2021-12-31,6.02
2022-12-31,6.45
2023-12-31,6.77
2024-12-31,6.65
2025-12-31,3.91
2026-03-31,0
