date,dividend
1987-02-27,0.15
1987-06-01,0.15
1987-08-31,0.15
1987-11-30,0.15
1988-02-29,0.15
1988-05-27,0.15
1988-08-29,0.15
1988-11-29,0.15
1989-02-28,0.15
1989-03-30,0.125
1989-05-30,0.15
1989-08-29,0.15
1989-11-29,0.15
1990-02-27,0.15
1990-03-30,0.125
1990-05-30,0.15
1990-08-29,0.15
1990-11-29,0.15
1991-02-27,0.15
1991-04-01,0.075
1991-05-30,0.15
1991-08-29,0.15
1991-11-29,0.15
1992-02-28,0.15
1992-06-01,0.15
1992-08-31,0.15
1992-11-30,0.15
1993-03-01,0.15
1993-03-30,0.05
1993-05-28,0.1625
1993-08-30,0.1625
1993-11-29,0.1625
1994-02-28,0.15
1994-03-29,0.1625
1994-05-27,0.15
1994-08-30,0.15
1994-11-29,0.1625
1995-02-28,0.15
1995-03-30,0.275
1995-05-30,0.15
1995-08-31,0.15
1995-12-01,0.1625
1996-03-01,0.1625
1996-04-02,0.1625
1996-06-03,0.15
1996-09-03,0.15
1996-12-03,0.15
1997-03-03,0.15
1997-04-02,0.25
1997-06-03,0.15
1997-09-03,0.18
1997-12-03,0.18
1998-03-03,0.18
1998-04-01,0.4
1998-06-03,0.18
1998-09-02,0.18
1998-12-02,0.18
1999-03-03,0.18
1999-03-31,0.35
1999-06-02,0.18
1999-09-01,0.18
1999-12-01,0.18
2000-03-01,0.18
2000-04-03,0.35
2000-06-01,0.18
2000-08-31,0.18
2000-12-01,0.18
2001-03-01,0.18
2001-04-03,0.25
2001-06-01,0.18
2001-08-31,0.18
2001-12-03,0.18
2002-03-01,0.18
2002-04-03,0.15
2002-06-03,0.18
2002-09-03,0.18
2002-12-03,0.18
2003-03-03,0.18
2003-04-02,0.25
2003-06-03,0.18
2003-09-03,0.18
2003-12-03,0.18
2004-03-03,0.18
2004-06-02,0.18
2004-09-01,0.18
2004-12-01,0.18
2005-03-02,0.18
2005-04-01,0.15
2005-06-01,0.18
2005-08-31,0.18
2005-12-01,0.18
2006-03-01,0.18
2006-06-01,0.18
2006-08-31,0.18
2006-12-01,0.18
2007-03-01,0.18
2007-06-01,0.18
2007-08-31,0.18
2007-12-03,0.18
2008-03-03,0.18
2008-04-02,0.15
2008-06-03,0.18
2008-09-03,0.18
2008-12-03,0.18
2009-03-03,0.18
2009-06-03,0.1
2009-09-02,0.1
2009-12-02,0.1
2010-03-03,0.1
2010-06-02,0.1
2010-09-01,0.1
2010-12-01,0.12
2011-03-02,0.12
2011-06-01,0.12
2011-09-01,0.12
2011-12-01,0.15
2012-03-01,0.15
2012-06-01,0.15
2012-08-31,0.15
2012-12-03,0.45
2013-03-01,0.15
2013-06-03,0.15
2013-09-03,0.15
2013-12-03,0.18
2014-03-03,0.58
2014-06-03,0.18
2014-09-03,0.18
2014-12-03,0.18
2015-03-03,0.43
2015-06-03,0.18
2015-09-02,0.18
2015-12-02,0.18
2016-03-02,0.43
2016-06-01,0.18
2016-08-31,0.18
2016-12-01,0.2
2017-03-01,0.55
2017-06-01,0.2
2017-08-31,0.2
2017-12-04,0.2
2018-03-02,0.51
2018-06-04,0.21
2018-09-04,0.21
2018-12-04,0.21
2019-03-04,0.52
2019-06-04,0.22
2019-09-04,0.22
2019-12-04,0.22
2020-03-04,0.22
2020-06-04,0.1
2020-09-03,0.1
2020-12-03,0.1
2021-03-04,0.22
2021-06-03,0.22
2021-09-02,0.22
2021-12-02,0.22
2022-03-03,0.22
2022-06-02,0.22
2022-09-02,0.22
2022-12-02,0.22
2023-03-02,0.22
2023-06-02,0.22
2023-09-01,0.1
2023-12-04,0.1
2024-03-04,0.1
2024-06-05,0.1
2024-09-05,0.1
2024-12-05,0.03
2025-03-05,0.03
2025-06-05,0.03
2025-09-05,0.03
2025-12-05,0.03
2026-03-06,0.03
