fiscalDateEnding,reportedEPS
1996-12-31,0.64
1997-12-31,0.89
1998-12-31,0.8
1999-12-31,0.35
2000-12-31,0.38
2001-12-31,0.65
2002-12-31,0.45
2003-12-31,0.42
2004-12-31,0.73
2005-12-31,1.6
2006-12-31,2.13
2007-12-31,2.49
2008-12-31,2.9
2009-12-31,1.28
2010-12-31,2.06
2011-12-31,3.36
2012-12-31,2.99
2013-12-31,3.11
2014-12-31,4.02
2015-12-31,1.49
2016-12-31,-0.02
2017-12-31,1.26
2018-12-31,1.9
2019-12-31,1.24
2020-12-31,0.65
2021-12-31,1.09
2022-12-31,2.16
2023-12-31,3.14
2024-12-31,2.99
2025-12-31,2.42
2026-03-31,0.55
