fiscalDateEnding,reportedEPS
1996-04-30,0.14
1997-04-30,0.57
1998-04-30,0.64
1999-04-30,0.72
2000-04-30,0.92
2001-04-30,1.07
2002-04-30,1.21
2003-04-30,1.41
2004-04-30,1.64
2005-04-30,1.86
2006-04-30,2.21
2007-04-30,2.41
2008-04-30,2.61
2009-04-30,2.92
2010-04-30,3.23
2011-04-30,3.38
2012-04-30,3.46
2013-04-30,3.76
2014-04-30,3.82
2015-04-30,4.06
2016-04-30,4.38
2017-04-30,4.6
2018-04-30,4.78
2019-04-30,5.22
2020-04-30,4.59
2021-04-30,4.43
2022-04-30,5.62
2023-04-30,5.3
2024-04-30,5.21
2025-04-30,5.5
2026-01-31,3.98
