fiscalDateEnding,reportedEPS
1998-12-31,1.4423
1999-12-31,1.3927
2000-12-31,1.2863
2001-12-31,0.7606
2002-12-31,-2.0541
2003-12-31,0.8476
2004-12-31,0.0248
2005-12-31,0.4853
2006-12-31,1.2105
2007-12-31,1.5841
2008-12-31,-1.8928
2009-12-31,-0.4783
2010-12-31,1.4851
2011-12-31,2.7216
2012-12-31,2.7278
2013-12-31,2.0073
2014-12-31,3.1
2015-12-31,3.14
2016-12-31,3.1
2017-12-31,4.47
2018-12-31,5.33
2019-12-31,5.39
2020-12-31,5
2021-12-31,7.72
2022-12-31,9.23
2023-12-31,10.04
2024-12-31,10.28
2025-12-31,9.27
2026-03-31,0
