fiscalDateEnding,reportedEPS
1996-06-30,0.9524
1997-06-30,2.87
1998-06-30,-1.4
1999-06-30,-3.75
2000-06-30,-2.22
2001-06-30,-0.42
2002-06-30,0.19
2003-06-30,0.94
2004-06-30,0.93
2005-06-30,0.99
2006-06-30,1.64
2007-06-30,1.89
2008-06-30,4.16
2009-06-30,2.54
2010-06-30,6.04
2011-06-30,3.27
2012-06-30,8.48
2013-06-30,8.51
2014-06-30,8.1
2015-06-30,7.74
2016-06-30,5.16
2017-06-30,8.8
2018-06-30,14.75
2019-06-30,4.83
2020-06-30,3.04
2021-06-30,4.52
2022-06-30,6.65
2023-06-30,-3.57
2024-06-30,-0.38
2025-06-30,6.57
2026-03-31,3.91
