fiscalDateEnding,reportedEPS
1996-12-31,1.79
1997-12-31,2.03
1998-12-31,2.44
1999-12-31,2.35
2000-12-31,2.29
2001-12-31,2.27
2002-12-31,1.86
2003-12-31,2.16
2004-12-31,2.58
2005-12-31,3.31
2006-12-31,4.81
2007-12-31,4.67
2008-12-31,1.74
2009-12-31,0.13
2010-12-31,-0.81
2011-12-31,-0.87
2012-12-31,-0.62
2013-12-31,0.14
2014-12-31,0.93
2015-12-31,2.19
2016-12-31,2.86
2017-12-31,3.02
2018-12-31,4.06
2019-12-31,4.7
2020-12-31,4.7
2021-12-31,5.05
2022-12-31,5.23
2023-12-31,6.99
2024-12-31,7.54
2025-12-31,7.99
2026-03-31,1.35
