fiscalDateEnding,reportedEPS
1996-12-31,1.08
1997-12-31,1.41
1998-12-31,1.54
1999-12-31,1.73
2000-12-31,1.94
2001-12-31,0.8516
2002-12-31,1.52
2003-12-31,1.52
2004-12-31,0.91
2005-12-31,0.1676
2006-12-31,1.179
2007-12-31,1.59
2008-12-31,1.43
2009-12-31,1.62
2010-12-31,2.96
2011-12-31,3.23
2012-12-31,3.71
2013-12-31,3.85
2014-12-31,4.25
2015-12-31,4.44
2016-12-31,4.6
2017-12-31,5.01
2018-12-31,6.05
2019-12-31,5.87
2020-12-31,4.78
2021-12-31,6.85
2022-12-31,5.87
2023-12-31,7.65
2024-12-31,7.44
2025-12-31,7.02
2026-03-31,1.63
