date,open,high,low,close,adj_close,volume
2005-01-03,122.5,122.5,122.5,122.5,117.82539367675781,0
2005-01-04,122.5,122.5,122.5,122.5,117.82539367675781,4
2005-01-05,122.5,122.5,122.5,122.5,117.82539367675781,0
2005-01-06,122.5,122.5,122.5,122.5,117.82539367675781,0
2005-01-07,122.5,122.5,122.5,122.5,117.82539367675781,8
2005-01-10,122.5,122.5,122.5,122.5,117.82539367675781,0
2005-01-11,118.75,122.5,118.75,118.75,114.21849060058594,56
2005-01-12,118.75,118.75,112.5,116.25,111.81388092041016,286
2005-01-13,118.75,118.75,118.75,118.75,114.21849060058594,4
2005-01-14,118.75,118.75,118.75,118.75,114.21849060058594,0
2005-01-18,112.5,113.75,112.5,112.5,108.2070083618164,36
2005-01-19,106.25,113.75,106.25,113.75,109.4093017578125,33
2005-01-20,113.75,113.75,113.75,113.75,109.4093017578125,0
2005-01-21,113.75,113.75,106.25,106.25,102.19549560546875,56
2005-01-24,106.25,106.25,106.25,106.25,102.19549560546875,0
2005-01-25,106.25,106.25,106.25,106.25,102.19549560546875,0
2005-01-26,101.25,101.25,101.25,101.25,97.38629913330078,1
2005-01-27,102.5,106.25,101.25,106.25,102.19549560546875,56
2005-01-28,106.25,106.25,102.5,106.25,102.19549560546875,31
2005-01-31,101.25,101.25,97.5,100.0,96.18399047851562,276
2005-02-01,106.25,106.25,101.25,106.25,102.19549560546875,355
2005-02-02,106.25,108.75,100.0,108.75,104.60009002685547,220
2005-02-03,108.75,108.75,108.75,108.75,104.60009002685547,241
2005-02-04,108.75,108.75,108.75,108.75,104.60009002685547,40
2005-02-07,108.75,108.75,108.75,108.75,104.60009002685547,0
2005-02-08,108.75,108.75,108.75,108.75,104.60009002685547,0
2005-02-09,111.25,116.25,111.25,116.25,111.81388092041016,148
2005-02-10,116.25,117.5,116.25,117.5,113.01618957519531,64
2005-02-11,112.5,118.75,112.5,118.75,114.21849060058594,64
2005-02-14,118.75,118.75,118.75,118.75,114.21849060058594,0
2005-02-15,118.75,118.75,118.75,118.75,114.21849060058594,0
2005-02-16,118.75,118.75,118.75,118.75,114.21849060058594,0
2005-02-17,115.0,116.25,115.0,116.25,111.81388092041016,42
2005-02-18,116.25,116.25,116.25,116.25,111.81388092041016,0
2005-02-22,113.75,113.75,113.75,113.75,109.4093017578125,80
2005-02-23,113.75,116.25,113.75,113.75,109.4093017578125,116
2005-02-24,113.75,113.75,113.75,113.75,109.4093017578125,0
2005-02-25,113.75,113.75,113.75,113.75,109.4093017578125,41
2005-02-28,111.25,116.25,111.25,116.25,111.81388092041016,99
2005-03-01,116.25,116.25,116.25,116.25,111.81388092041016,0
2005-03-02,116.25,116.25,116.25,116.25,111.81388092041016,0
2005-03-03,116.25,116.25,116.25,116.25,111.81388092041016,0
2005-03-04,116.25,116.25,116.25,116.25,111.81388092041016,0
2005-03-07,113.75,113.75,113.75,113.75,109.4093017578125,0
2005-03-08,112.5,116.25,112.5,116.25,111.81388092041016,122
2005-03-09,116.25,116.25,116.25,116.25,111.81388092041016,0
2005-03-10,116.25,116.25,116.25,116.25,111.81388092041016,40
2005-03-11,116.25,118.75,116.25,118.75,114.21849060058594,196
2005-03-14,112.5,112.5,112.5,112.5,108.2070083618164,17
2005-03-15,112.5,112.5,112.5,112.5,108.2070083618164,0
2005-03-16,112.5,112.5,112.5,112.5,108.2070083618164,0
2005-03-17,112.5,112.5,112.5,112.5,108.2070083618164,0
2005-03-18,112.5,112.5,112.5,112.5,108.2070083618164,32
2005-03-21,108.75,108.75,108.75,108.75,104.60009002685547,4
2005-03-22,118.75,121.25,112.5,113.75,109.4093017578125,1224
2005-03-23,112.5,123.75,112.5,120.0,115.42079162597656,534
2005-03-24,121.25,121.25,118.75,118.75,114.21849060058594,80
2005-03-28,121.25,125.0,118.75,125.0,120.2300033569336,310
2005-03-29,125.0,125.0,120.0,121.25,116.62309265136719,272
2005-03-30,121.25,121.25,121.25,121.25,116.62309265136719,0
2005-03-31,115.0,115.0,113.75,113.75,109.4093017578125,68
2005-04-01,113.75,113.75,113.75,113.75,109.4093017578125,0
2005-04-04,113.75,113.75,113.75,113.75,109.4093017578125,0
2005-04-05,120.0,120.0,118.75,120.0,115.42079162597656,580
2005-04-06,118.75,118.75,118.75,118.75,114.21849060058594,116
2005-04-07,117.5,117.5,116.25,116.25,111.81388092041016,84
2005-04-08,116.25,116.25,116.25,116.25,111.81388092041016,80
2005-04-11,116.25,116.25,116.25,116.25,111.81388092041016,0
2005-04-12,116.25,122.5,113.75,113.75,109.4093017578125,281
2005-04-13,116.25,116.25,116.25,116.25,111.81388092041016,260
2005-04-14,113.75,116.25,113.75,115.0,110.61158752441406,96
2005-04-15,115.0,115.0,106.25,112.5,108.2070083618164,655
2005-04-18,106.25,110.0,106.25,110.0,105.80238342285156,37
2005-04-19,110.0,116.25,106.25,113.75,109.4093017578125,124
2005-04-20,107.5,107.5,107.5,107.5,103.39779663085938,16
2005-04-21,110.0,115.0,110.0,115.0,110.61158752441406,156
2005-04-22,115.0,115.0,107.5,107.5,103.39779663085938,32
2005-04-25,113.75,113.75,110.0,110.0,105.80238342285156,64
2005-04-26,110.0,110.0,110.0,110.0,105.80238342285156,221
2005-04-27,112.5,112.5,97.5,106.25,102.19549560546875,608
2005-04-28,115.0,115.0,115.0,115.0,110.61158752441406,16
2005-04-29,112.5,112.5,106.25,106.25,102.19549560546875,284
2005-05-02,106.25,106.25,106.25,106.25,102.19549560546875,0
2005-05-03,106.25,112.5,106.25,112.5,108.2070083618164,104
2005-05-04,106.25,112.5,106.25,106.25,102.19549560546875,92
2005-05-05,106.25,106.25,101.25,106.25,102.19549560546875,208
2005-05-06,106.25,106.25,106.25,106.25,102.19549560546875,160
2005-05-09,106.25,106.25,103.75,103.75,99.7908935546875,199
2005-05-10,101.25,106.25,95.0,101.25,97.38629913330078,252
2005-05-11,100.0,100.0,95.0,95.0,91.37478637695312,384
2005-05-12,102.5,102.5,100.0,100.0,96.18399047851562,117
2005-05-13,102.5,103.75,97.5,101.25,97.38629913330078,880
2005-05-16,101.25,101.25,101.25,101.25,97.38629913330078,0
2005-05-17,100.0,100.0,100.0,100.0,96.18399047851562,824
2005-05-18,100.0,100.0,100.0,100.0,96.18399047851562,0
2005-05-19,105.0,110.0,105.0,110.0,105.80238342285156,25
2005-05-20,107.5,112.5,107.5,112.5,108.2070083618164,130
2005-05-23,112.5,112.5,112.5,112.5,108.2070083618164,0
2005-05-24,112.5,112.5,112.5,112.5,108.2070083618164,96
2005-05-25,102.5,118.75,102.5,118.75,114.21849060058594,1173
2005-05-26,121.25,121.25,112.5,112.5,108.2070083618164,26
2005-05-27,121.25,125.0,118.75,120.0,115.42079162597656,1036
2005-05-31,125.0,136.25,125.0,128.75,123.83690643310547,962
2005-06-01,127.5,133.75,125.0,126.25,121.43228912353516,234
2005-06-02,126.25,126.25,120.0,125.0,120.2300033569336,354
2005-06-03,123.75,131.25,122.5,126.25,121.43228912353516,563
2005-06-06,126.25,137.5,125.0,137.5,132.25299072265625,920
2005-06-07,137.5,146.25,137.5,145.0,139.46678161621094,1815
2005-06-08,145.0,145.0,133.75,135.0,129.84840393066406,168
2005-06-09,136.25,137.5,136.25,137.5,132.25299072265625,72
2005-06-10,138.75,141.25,138.75,140.0,134.6575927734375,197
2005-06-13,141.25,141.25,131.25,132.5,127.44378662109375,457
2005-06-14,133.75,137.5,132.5,133.75,128.64608764648438,126
2005-06-15,140.0,140.0,135.0,137.5,132.25299072265625,212
2005-06-16,140.0,140.0,137.5,140.0,134.6575927734375,176
2005-06-17,142.5,156.25,141.25,152.5,146.68060302734375,1315
2005-06-20,155.0,155.0,152.5,153.75,147.8828887939453,1104
2005-06-21,152.5,152.5,145.0,146.25,140.66909790039062,176
2005-06-22,146.25,146.25,135.0,140.0,134.6575927734375,644
2005-06-23,140.0,142.5,140.0,141.25,135.8599090576172,1321
2005-06-24,142.5,148.75,142.5,145.0,139.46678161621094,113
2005-06-27,146.25,150.0,145.0,150.0,144.27597045898438,276
2005-06-28,150.0,150.0,150.0,150.0,144.27597045898438,28
2005-06-29,146.25,150.0,143.75,143.75,138.26451110839844,357
2005-06-30,147.5,147.5,143.75,143.75,138.26451110839844,96
2005-07-01,142.5,142.5,138.75,142.5,137.0622100830078,56
2005-07-05,138.75,138.75,131.25,131.25,126.24149322509766,140
2005-07-06,136.25,146.25,136.25,146.25,140.66909790039062,168
2005-07-07,146.25,146.25,146.25,146.25,140.66909790039062,16
2005-07-08,143.75,143.75,131.25,137.5,132.25299072265625,16
2005-07-11,131.25,131.25,131.25,131.25,126.24149322509766,12
2005-07-12,137.5,153.75,137.5,146.25,140.66909790039062,500
2005-07-13,137.5,146.25,137.5,140.0,134.6575927734375,144
2005-07-14,140.0,140.0,140.0,140.0,134.6575927734375,40
2005-07-15,143.75,143.75,125.0,125.0,120.2300033569336,611
2005-07-18,120.0,140.0,120.0,140.0,134.6575927734375,166
2005-07-19,140.0,140.0,140.0,140.0,134.6575927734375,0
2005-07-20,137.5,150.0,137.5,150.0,144.27597045898438,410
2005-07-21,150.0,167.5,150.0,152.5,146.68060302734375,666
2005-07-22,153.75,163.75,153.75,163.75,157.5012969970703,253
2005-07-25,162.5,167.5,160.0,162.5,156.29901123046875,1331
