fiscalDateEnding,reportedEPS
1996-12-31,1.2
1997-12-31,1.39
1998-12-31,1.6
1999-12-31,1.81
2000-12-31,2.06
2001-12-31,0.97
2002-12-31,2.01
2003-12-31,2.31
2004-12-31,2.74
2005-12-31,2.84
2006-12-31,3.01
2007-12-31,3.31
2008-12-31,2.35
2009-12-31,1.5
2010-12-31,3.41
2011-12-31,4.11
2012-12-31,4.4
2013-12-31,4.92
2014-12-31,5.55
2015-12-31,5.37
2016-12-31,5.91
2017-12-31,6.02
2018-12-31,7.32
2019-12-31,8.19
2020-12-31,3.76
2021-12-31,9.99
2022-12-31,9.84
2023-12-31,11.21
2024-12-31,13.35
2025-12-31,15.39
2026-03-31,4.28
