fiscalDateEnding,reportedEPS
1996-12-31,-0.18
1997-12-31,-1.98
1998-12-31,-2.6
1999-12-31,-3.72
2000-12-31,-5.42
2001-12-31,-5.06
2002-12-31,-0.84
2003-12-31,0.07
2004-12-31,-0.02
2007-12-31,-0.03
2008-12-31,-0.26
2009-12-31,436.0817
2010-12-31,-19.8459
2011-12-31,-31.4364
2012-12-31,26.6696
2013-12-31,-7.0117
2014-12-31,-0.9865
2015-12-31,-1.4911
2016-12-31,-3.2728
2017-12-31,-9.94
2018-12-31,-20.67
2019-12-31,-0.13
2020-12-31,-4.1668
2021-12-31,-1.0092
2022-12-31,-0.54
2023-12-31,-0.4714
2024-12-31,-1.5575
2025-12-31,-4.2553
