fiscalDateEnding,reportedEPS
1996-09-30,0.3925
1997-09-30,0.46
1998-09-30,0.53
1999-09-30,0.62
2000-09-30,0.7
2001-09-30,0.82
2002-09-30,1
2003-09-30,1.14
2004-09-30,1.14
2005-09-30,1.29
2006-09-30,1.61
2007-09-30,2.35
2008-09-30,3.34
2009-09-30,3.21
2010-09-30,2.44
2011-09-30,2.64
2012-09-30,2.91
2013-09-30,3.23
2014-09-30,3.3
2015-09-30,3.26
2016-09-30,3.08
2017-09-30,3.23
2018-09-30,4.43
2019-09-30,5.06
2020-09-30,5.48
2021-09-30,6.29
2022-09-30,6.94
2023-09-30,7.26
2024-09-30,7.26
2025-09-30,6.13
2026-03-31,1.53
