fiscalDateEnding,reportedEPS
1996-12-31,1.14
1998-12-31,1.1656
1999-12-31,1.51
2000-12-31,0.0548
2001-12-31,-2.4863
2002-12-31,-5.8586
2003-12-31,-1.1421
2004-12-31,1.8101
2005-12-31,2.6968
2006-12-31,2.1159
2007-12-31,1.82
2008-12-31,1.19
2009-12-31,-0.12
2010-12-31,1.14
2011-12-31,2.75
2012-12-31,3.32
2013-12-31,3.48
2014-12-31,3.87
2015-12-31,4.19
2016-12-31,3.01
2017-12-31,3.23
2018-12-31,4.28
2019-12-31,3.74
2020-12-31,0.01
2021-12-31,-1.2
2022-12-31,1.37
2023-12-31,3.08
2024-12-31,3.61
2025-12-31,2.62
2026-03-31,0
