fiscalDateEnding,reportedEPS
1996-12-31,1.52
1997-12-31,1.54
1998-12-31,0.54
1999-12-31,0.4
2000-12-31,0.86
2001-12-31,-0.47
2002-12-31,-0.76
2003-12-31,-0.4278
2004-12-31,0.87
2005-12-31,0.92
2006-12-31,1.41
2007-12-31,1.97
2008-12-31,1.45
2009-12-31,-0.36
2010-12-31,2.38
2011-12-31,1.83
2012-12-31,1.35
2013-12-31,1.35
2014-12-31,1.66
2015-12-31,1.6
2016-12-31,1.32
2017-12-31,1.72
2018-12-31,2.38
2019-12-31,3.19
2020-12-31,2.17
2021-12-31,3.81
2022-12-31,5.04
2023-12-31,5.52
2024-12-31,5.34
2025-12-31,5.44
2026-03-31,1.27
