date,dividend
1986-03-06,0.13
1986-06-09,0.14
1986-09-08,0.14
1986-12-08,0.14
1987-03-06,0.14
1987-06-08,0.15
1987-09-04,0.15
1987-12-07,0.15
1988-03-07,0.15
1988-06-06,0.16
1988-09-12,0.16
1988-12-12,0.16
1989-03-13,0.16
1989-06-12,0.17
1989-09-11,0.17
1989-12-14,0.17
1990-03-12,0.17
1990-06-11,0.18
1990-09-10,0.18
1990-12-17,0.18
1991-03-11,0.18
1991-06-10,0.18
1991-09-09,0.18
1991-12-16,0.05
1992-03-09,0.05
1992-06-08,0.05
1992-09-04,0.05
1992-12-15,0.11
1993-03-08,0.05
1993-06-07,0.05
1993-09-03,0.05
1993-12-15,0.05
1994-03-14,0.05
1994-06-13,0.05
1994-09-12,0.08
1994-12-14,0.08
1995-03-13,0.08
1995-06-14,0.08
1995-09-13,0.1
1995-12-13,0.1
1996-03-14,0.1
1996-06-12,0.1
1996-09-11,0.11
1996-12-18,0.11
1997-03-13,0.11
1997-06-12,0.11
1997-09-12,0.12
1997-12-17,0.12
1998-03-18,0.12
1998-06-17,0.12
1998-09-17,0.12
1998-12-16,0.12
1999-03-17,0.12
1999-06-16,0.12
1999-09-23,0.12
1999-12-16,0.12
2000-03-22,0.12
2000-06-28,0.12
2000-09-27,0.12
2001-01-03,0.12
2001-03-28,0.12
2001-06-20,0.12
2012-05-16,0.075
2012-08-15,0.075
2012-11-14,0.075
2013-02-15,0.075
2013-05-15,0.08
2013-08-14,0.08
2013-11-13,0.08
2014-02-18,0.08
2014-05-19,0.085
2014-08-04,0.085
2014-11-04,0.085
2015-02-17,0.085
2015-05-19,0.09
2015-08-14,0.09
2015-11-05,0.09
2016-02-11,0.09
2016-05-16,0.095
2016-08-17,0.095
2016-11-08,0.095
2017-02-13,0.095
2017-05-15,0.1
2017-08-16,0.1
2017-11-07,0.1
2018-02-20,0.1
2018-05-15,0.105
2018-08-20,0.105
2018-11-07,0.105
2019-02-20,0.105
2019-05-17,0.11
2019-08-20,0.11
2019-11-07,0.11
2020-02-18,0.11
2020-05-28,0.115
2020-08-17,0.115
2020-11-04,0.115
2021-02-16,0.115
2021-05-26,0.12
2021-08-19,0.12
2021-11-10,0.12
2022-02-23,0.12
2022-05-26,0.125
2022-08-23,0.125
2022-11-15,0.125
2023-02-22,0.125
2023-05-30,0.13
2023-08-24,0.13
2023-11-15,0.13
2024-02-21,0.13
2024-05-22,0.135
2024-08-23,0.135
2024-11-14,0.135
2025-02-20,0.135
2025-05-29,0.14
2025-08-22,0.14
2025-11-13,0.14
2026-02-19,0.14
