fiscalDateEnding,reportedEPS
1996-12-31,0.23
1997-12-31,0.23
1998-12-31,0.14
1999-12-31,-0.1265
2000-12-31,0.12
2001-12-31,0.36
2002-12-31,0.14
2003-12-31,0.3
2004-12-31,0.25
2005-12-31,0.54
2006-12-31,1.38
2007-12-31,1.06
2008-12-31,0.78
2009-12-31,0.76
2010-12-31,0.58
2011-12-31,0.55
2012-12-31,0.6487
2013-12-31,0.64
2014-12-31,0.27
2015-12-31,0.31
2016-12-31,-0.6
2017-12-31,-0.14
2018-12-31,-0.06
2019-12-31,-0.05
2020-12-31,-0.19
2021-12-31,-0.059
2022-12-31,0.15
2023-12-31,0.26
2024-12-31,0.18
2025-12-31,0.26
2026-03-31,0.06
